AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,INCOME_CATEGORY_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key
"65+","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",1
"45-54","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",7
"45-54","A","100-124K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",18
"45-54","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",22
"35-44","A","125-149K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",39
"35-44","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",49
"65+","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",55
"65+","A","15-24K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",74
"55-64","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",165
"45-54","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",193
"45-54","A","15-24K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",218
"55-64","A","150-174K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",219
"45-54","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",220
"25-34","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",283
"45-54","A","100-124K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",321
"45-54","A","Under 15K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",334
"65+","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",346
"45-54","A","150-174K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",353
"55-64","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",367
"45-54","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",377
"45-54","A","25-34K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",443
"65+","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",464
"45-54","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",518
"65+","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",644
"65+","A","125-149K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",682
"45-54","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",699
"65+","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",712
"55-64","A","15-24K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",715
"35-44","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",722
"45-54","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",733
"45-54","A","150-174K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",766
"65+","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",785
"25-34","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",800
"35-44","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",806
"45-54","A","175-199K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",825
"45-54","A","200-249K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",844
"65+","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",868
"35-44","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",883
"35-44","A","100-124K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",886
"55-64","A","125-149K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",898
"35-44","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",900
"25-34","A","125-149K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",911
"55-64","A","25-34K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",996
"45-54","A","25-34K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",1020
"35-44","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",1031
"55-64","A","100-124K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",1053
"55-64","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",1081
"45-54","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",1091
"45-54","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",1142
"45-54","A","15-24K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",1159
"19-24","A","15-24K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",1169
"35-44","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",1179
"35-44","A","150-174K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",1197
"55-64","A","150-174K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",1229
"35-44","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",1247
"65+","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",1318
"55-64","A","25-34K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",1357
"45-54","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",1391
"45-54","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",1394
"65+","A","125-149K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",1396
"35-44","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",1421
"35-44","A","Under 15K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",1445
"65+","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",1454
"65+","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",1468
"19-24","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",1484
"65+","A","15-24K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",1492
"55-64","A","15-24K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",1499
"45-54","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",1509
"45-54","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",1524
"25-34","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",1527
"45-54","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",1545
"45-54","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",1556
"35-44","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",1572
"45-54","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",1633
"45-54","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",1677
"25-34","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",1778
