PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC
42659,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
43143,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
43395,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
43411,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
43677,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
43803,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
43848,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
44067,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
44730,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
44752,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
45243,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
46154,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
46545,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
47184,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
47959,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
48571,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
48575,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
48682,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
48810,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
50496,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
52641,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
413180,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
448699,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
459894,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
479107,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
499889,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
515168,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
553894,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
567217,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
650186,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
744843,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
754343,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
760658,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
768339,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
821556,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
829852,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
846760,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
855557,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
859075,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
868683,69,"GROCERY","Private","CHEESE","SHREDDED CHEESE"
