RecordID,StudentID,CourseID,Department,ExamDate,Grade
1,S074,C01,AI,2023-05-06,80
2,S002,C04,AI,2023-05-10,100
3,S036,C03,CS,2023-05-25,70
4,S042,C02,IT,2023-03-04,40
5,S054,C03,IS,2023-03-15,70
6,S037,C05,AI,2022-11-29,90
7,S039,C06,IT,2023-04-22,100
8,S031,C08,AI,2022-09-23,80
9,S001,C04,IT,2022-12-09,60
10,S069,C06,IT,2023-02-08,90
11,S071,C08,AI,2023-04-29,40
12,S084,C10,IS,2023-05-15,50
13,S029,C07,IT,2022-09-19,40
14,S064,C05,CS,2023-06-01,100
15,S011,C03,AI,2023-06-18,60
16,S077,C03,CS,2022-10-20,70
17,S022,C04,IS,2023-04-10,70
18,S058,C04,IS,2022-11-13,80
19,S067,C03,CS,2023-01-15,70
20,S039,C03,IT,2022-11-30,70
21,S099,C06,IS,2023-04-11,50
22,S001,C09,CS,2023-02-17,60
23,S032,C02,IS,2023-04-18,70
24,S075,C03,AI,2023-05-12,90
25,S031,C09,IS,2023-05-25,70
26,S078,C08,CS,2022-11-25,70
27,S087,C08,AI,2022-11-09,70
28,S070,C10,IS,2023-06-03,70
29,S063,C03,AI,2022-10-21,70
30,S005,C01,AI,2023-06-02,40
31,S007,C06,CS,2022-11-17,40
32,S078,C08,AI,2022-11-11,70
33,S056,C09,AI,2023-02-23,90
34,S034,C08,AI,2023-02-16,90
35,S067,C09,IT,2022-12-31,60
36,S080,C01,IT,2023-06-22,100
37,S081,C08,CS,2022-10-30,60
38,S056,C04,IS,2022-10-16,40
39,S077,C09,CS,2023-01-25,50
40,S086,C08,IT,2023-03-04,80
41,S052,C04,IS,2022-12-03,40
42,S076,C04,AI,2022-12-16,40
43,S088,C05,AI,2023-05-26,90
44,S055,C08,IT,2023-01-15,80
45,S047,C02,CS,2022-12-17,70
46,S079,C07,AI,2022-12-12,40
47,S099,C07,CS,2022-09-29,60
48,S033,C06,AI,2023-04-06,100
49,S025,C05,AI,2023-01-29,80
50,S064,C09,IS,2023-03-27,70
51,S082,C06,IS,2023-01-20,70
52,S058,C08,AI,2022-10-13,90
53,S070,C06,AI,2022-11-26,80
54,S054,C10,CS,2023-02-04,40
55,S076,C06,IS,2022-10-08,90
56,S051,C10,IS,2023-01-23,80
57,S024,C04,IT,2023-02-05,40
58,S072,C01,IT,2023-06-19,90
59,S010,C07,IT,2023-06-19,80
60,S057,C10,CS,2023-03-20,50
61,S044,C10,IT,2023-05-26,100
62,S073,C06,CS,2023-06-24,40
63,S005,C10,IS,2023-03-23,60
64,S077,C03,IT,2022-10-31,80
65,S045,C03,CS,2023-06-02,80
66,S045,C02,AI,2023-04-13,80
67,S045,C01,IT,2023-04-16,90
68,S061,C10,AI,2023-04-15,80
69,S023,C06,AI,2023-02-23,80
70,S066,C08,AI,2022-12-09,40
71,S056,C03,CS,2022-12-05,90
72,S082,C04,AI,2023-03-04,80
73,S049,C01,CS,2022-11-24,60
74,S029,C01,IT,2022-10-22,90
75,S073,C06,IT,2023-02-02,100
76,S006,C07,AI,2022-10-10,60
77,S098,C04,AI,2022-11-23,50
78,S052,C08,IS,2022-09-20,50
79,S023,C10,AI,2022-11-18,80
80,S083,C07,CS,2023-03-23,100
81,S016,C04,CS,2023-04-05,90
82,S082,C05,IS,2023-06-01,90
83,S013,C06,AI,2023-01-04,80
84,S038,C01,IT,2023-03-17,90
85,S030,C02,AI,2022-10-22,80
86,S052,C10,IT,2023-01-26,60
87,S009,C04,CS,2022-10-09,70
88,S005,C01,AI,2023-02-21,100
89,S023,C01,IS,2023-02-14,90
90,S061,C03,CS,2022-12-15,50
91,S038,C04,IT,2023-01-05,70
92,S079,C09,AI,2023-06-10,100
93,S004,C03,CS,2022-11-03,40
94,S008,C03,CS,2023-03-17,40
95,S002,C07,IT,2023-04-04,40
96,S071,C03,CS,2023-03-12,80
97,S059,C08,IS,2022-12-05,40
98,S052,C08,AI,2023-03-06,90
99,S010,C03,IS,2023-01-08,50
100,S012,C08,CS,2022-11-18,60
101,S011,C09,IS,2022-11-12,100
102,S014,C09,CS,2023-01-26,90
103,S080,C06,CS,2023-06-22,60
104,S082,C09,AI,2023-05-19,50
105,S092,C01,CS,2022-10-01,90
106,S028,C09,CS,2022-12-19,50
107,S040,C07,IT,2022-09-14,60
108,S067,C02,AI,2023-02-01,70
109,S060,C03,IT,2022-09-15,70
110,S078,C03,AI,2022-12-01,60
111,S065,C08,IT,2022-09-23,70
112,S076,C07,IT,2023-04-29,90
113,S036,C04,AI,2023-05-25,60
114,S084,C10,AI,2022-11-16,90
115,S041,C06,IT,2022-09-29,70
